2026-02-23 05:46:54 | INFO | ConnectionlessDownlink     | dropped packet number 157
2026-02-23 05:46:54 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 05:46:55 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 05:46:56 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 05:48:45 | INFO | ConnectionlessDownlink     | dropped packet number 161
2026-02-23 05:48:45 | INFO | ConnectionlessDownlink     | dropped packet number 162
2026-02-23 05:48:45 | INFO | ConnectionlessDownlink     | dropped packet number 163
2026-02-23 05:48:45 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 05:48:46 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 05:48:47 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 05:49:00 | INFO | ConnectionlessDownlink     | dropped packet number 167
2026-02-23 05:49:00 | INFO | ConnectionlessDownlink     | dropped packet number 168
2026-02-23 05:49:00 | INFO | ConnectionlessDownlink     | dropped packet number 169
2026-02-23 05:49:00 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 05:49:02 | INFO | ConnectionlessDownlink     | dropped packet number 171
2026-02-23 05:49:02 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 05:49:13 | INFO | ConnectionlessDownlink     | dropped packet number 173
2026-02-23 05:49:13 | INFO | ConnectionlessDownlink     | dropped packet number 174
2026-02-23 05:49:13 | INFO | ConnectionlessDownlink     | dropped packet number 175
2026-02-23 05:49:13 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 05:49:14 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 05:49:15 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 05:49:54 | INFO | ConnectionlessDownlink     | dropped packet number 179
2026-02-23 05:49:54 | INFO | ConnectionlessDownlink     | dropped packet number 180
2026-02-23 05:49:54 | INFO | ConnectionlessDownlink     | dropped packet number 181
2026-02-23 05:49:54 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
